id,date,primary_type,arrest
11938571,2020-01-01T17:28:00Z,ASSAULT,TRUE
11938572,2020-01-01T19:20:00Z,THEFT,FALSE
11938573,2020-01-01T19:30:00Z,THEFT,TRUE
11938574,2020-01-01T19:00:00Z,MOTOR VEHICLE THEFT,FALSE
11938576,2020-01-01T16:30:00Z,BATTERY,TRUE
11938578,2020-01-01T19:20:00Z,THEFT,FALSE
11938579,2020-01-01T18:00:00Z,ROBBERY,FALSE
11938583,2020-01-01T11:30:00Z,BATTERY,FALSE
11938584,2020-01-01T19:43:00Z,BATTERY,FALSE
11938587,2020-01-01T09:00:00Z,BATTERY,TRUE
11938588,2020-01-01T18:50:00Z,CRIMINAL DAMAGE,FALSE
11938591,2020-01-01T19:50:00Z,ASSAULT,FALSE
11938594,2020-01-01T20:05:00Z,BATTERY,FALSE
11938595,2020-01-01T16:00:00Z,BATTERY,FALSE
11938598,2020-01-01T18:10:00Z,THEFT,FALSE
11938603,2020-01-01T20:15:00Z,THEFT,FALSE
11938605,2020-01-01T08:00:00Z,BATTERY,FALSE
11938610,2020-01-01T18:59:00Z,THEFT,TRUE
11938615,2020-01-01T19:11:00Z,OTHER OFFENSE,TRUE
11938616,2020-01-01T16:40:00Z,BATTERY,FALSE
11938617,2020-01-01T18:15:00Z,BATTERY,FALSE
11938619,2020-01-01T14:00:00Z,BATTERY,FALSE
11938620,2020-01-01T19:15:00Z,BATTERY,TRUE
11938621,2020-01-01T15:30:00Z,BATTERY,FALSE
11938623,2020-01-01T20:20:00Z,THEFT,TRUE
11938624,2020-01-01T17:08:00Z,THEFT,FALSE
11938625,2020-01-01T20:40:00Z,OTHER OFFENSE,TRUE
11938627,2020-01-01T19:00:00Z,OTHER OFFENSE,FALSE
11938632,2020-01-01T19:00:00Z,ROBBERY,FALSE
11938635,2020-01-01T20:55:00Z,OTHER OFFENSE,FALSE
11938638,2020-01-01T18:11:00Z,NARCOTICS,TRUE
11938641,2020-01-01T18:30:00Z,BATTERY,TRUE
11938643,2020-01-01T16:45:00Z,WEAPONS VIOLATION,TRUE
11938645,2020-01-01T09:00:00Z,DECEPTIVE PRACTICE,FALSE
11938646,2020-01-01T19:25:00Z,CRIMINAL DAMAGE,FALSE
11938649,2020-01-01T18:30:00Z,BATTERY,FALSE
11938650,2020-01-01T12:30:00Z,ROBBERY,FALSE
11938654,2020-01-01T20:13:00Z,BATTERY,FALSE
11938656,2020-01-01T12:55:00Z,BURGLARY,FALSE
11938657,2020-01-01T22:00:00Z,NARCOTICS,TRUE
11938658,2020-01-01T19:15:00Z,ASSAULT,FALSE
11938664,2020-01-01T11:00:00Z,BATTERY,FALSE
11938665,2020-01-01T18:15:00Z,THEFT,FALSE
11938666,2020-01-01T08:00:00Z,THEFT,FALSE
11938668,2020-01-01T20:10:00Z,CRIMINAL DAMAGE,FALSE
11938670,2020-01-01T21:09:00Z,BATTERY,FALSE
11938671,2020-01-01T19:00:00Z,ASSAULT,TRUE
11938672,2020-01-01T08:00:00Z,OTHER OFFENSE,FALSE
11938673,2020-01-01T20:15:00Z,BATTERY,TRUE
11938674,2020-01-01T18:40:00Z,THEFT,TRUE
11938676,2020-01-01T21:35:00Z,NARCOTICS,TRUE
11938678,2020-01-01T19:40:00Z,BATTERY,TRUE
11938682,2020-01-01T19:45:00Z,BATTERY,TRUE
11938683,2020-01-01T15:00:00Z,BATTERY,FALSE
11938684,2020-01-01T21:55:00Z,WEAPONS VIOLATION,FALSE
11938685,2020-01-01T16:30:00Z,CRIMINAL DAMAGE,FALSE
11938690,2020-01-01T11:00:00Z,ASSAULT,FALSE
11938692,2020-01-01T20:25:00Z,THEFT,FALSE
11938695,2020-01-01T21:15:00Z,THEFT,FALSE
11938702,2020-01-01T20:00:00Z,BATTERY,FALSE
11938704,2020-01-01T20:00:00Z,ASSAULT,TRUE
11938706,2020-01-01T19:49:00Z,WEAPONS VIOLATION,TRUE
11938707,2020-01-01T06:10:00Z,CRIMINAL DAMAGE,FALSE
11938710,2020-01-01T07:00:00Z,CRIMINAL DAMAGE,FALSE
11938711,2020-01-01T22:55:00Z,THEFT,FALSE
11938712,2020-01-01T20:54:00Z,THEFT,TRUE
11938716,2020-01-01T17:00:00Z,THEFT,FALSE
11938717,2020-01-01T17:09:00Z,OTHER OFFENSE,TRUE
11938720,2020-01-01T19:30:00Z,BATTERY,FALSE
11938726,2020-01-01T22:26:00Z,CRIMINAL DAMAGE,TRUE
11938730,2020-01-01T19:52:00Z,BATTERY,TRUE
